	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
149	19940508-M-Hamburg_Masters-F-Yevgeny_Kafelnikov-Andrei_Medvedev	23	7	24	18	47.0	25.0	20	12	31	19	51.0	31.0
150	19940515-M-Rome_Masters-F-Pete_Sampras-Boris_Becker	10	11	12	19	22.0	30.0	19	4	9	5	28.0	9.0
151	19940605-M-Roland_Garros-F-Sergi_Bruguera-Alberto_Berasategui	21	6	22	21	43.0	27.0	21	9	44	26	65.0	35.0
152	19940703-M-Wimbledon-F-Pete_Sampras-Goran_Ivanisevic	9	13	2	14	11.0	27.0	17	16	5	8	22.0	24.0
153	19940731-M-Canada_Masters-F-Jason_Stoltenberg-Andre_Agassi	20	10	6	4	26.0	14.0	12	11	11	6	23.0	17.0
154	19940813-M-Cincinnati_Masters-SF-Stefan_Edberg-Michael_Stich	4	15	10	9	14.0	24.0	6	10	2	6	8.0	16.0
155	19940911-M-US_Open-F-Michael_Stich-Andre_Agassi	27	10	7	9	34.0	19.0	14	10	11	11	25.0	21.0
156	19941030-M-Stockholm-F-Boris_Becker-Goran_Ivanisevic	10	13	3	17	13.0	30.0	12	18	14	12	26.0	30.0
157	19941106-M-Paris_Masters-F-Andre_Agassi-Marc_Rosset	15	7	10	16	25.0	23.0	13	3	28	27	41.0	30.0
158	19941116-M-Tour_Finals-RR-Michael_Chang-Andre_Agassi	17	4	10	12	27.0	16.0	7	4	14	7	21.0	11.0
159	19941116-M-Tour_Finals-RR-Pete_Sampras-Stefan_Edberg	9	12	4	12	13.0	24.0	10	10	4	14	14.0	24.0
160	19941119-M-Tour_Finals-SF-Pete_Sampras-Andre_Agassi	18	4	11	14	29.0	18.0	11	9	10	10	21.0	19.0
161	19941120-M-Tour_Finals-F-Pete_Sampras-Boris_Becker	9	21	7	27	16.0	48.0	8	11	15	12	23.0	23.0
162	19950124-M-Australian_Open-QF-Jim_Courier-Pete_Sampras	18	13	28	27	46.0	40.0	37	18	24	27	61.0	45.0
163	19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi	21	12	22	13	43.0	25.0	14	13	15	27	29.0	40.0
164	19950311-M-Indian_Wells_Masters-SF-Pete_Sampras-Stefan_Edberg	12	15	8	12	20.0	27.0	2	15	6	8	8.0	23.0
