	match_id	p1_backhand_per	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_ii	p1_io	p2_backhand_per	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_ii	p2_io
651	20080614-M-Queens_Club-SF-Andy_Roddick-Rafael_Nadal.html	0.57	0.4	0.1	0.37	0.43	0.01	0.12	0.3744075829383886	0.41	0.2	0.15	0.6255924170616114	0.01	0.22
652	20150514-M-Rome_Masters-R16-Roger_Federer-Kevin_Anderson.html	0.6103896103896104	0.34	0.15	0.41	0.38961038961038963	0.01	0.09	0.5194805194805194	0.52	0.03	0.22	0.4805194805194805	0.02	0.21
653	19980427-M-Monte_Carlo_Masters-F-Carlos_Moya-Cedric_Pioline.html	0.4574898785425101	0.39	0.12	0.33	0.5425101214574899	0.02	0.14	0.4729458917835671	0.51	0.09	0.29	0.5270541082164328	0.0	0.1
654	20180809-M-Canada_Masters-R16-Stefanos_Tsitsipas-Novak_Djokovic.html	0.4294478527607362	0.41	0.08	0.29	0.5705521472392638	0.01	0.21	0.525	0.53	0.08	0.23	0.475	0.01	0.15
655	20180528-M-Roland_Garros-R128-Borna_Coric-Philipp_Kohlschreiber.html	0.5075987841945289	0.49	0.16	0.13	0.48936170212765956	0.04	0.18	0.5745341614906833	0.48	0.14	0.21	0.422360248447205	0.04	0.13
656	20150910-M-Genova_CH-R32-Jan_Satral-Nicolas_Almagro.html	0.5205479452054794	0.42	0.06	0.42	0.4794520547945205	0.0	0.1	0.4511627906976744	0.42	0.07	0.3	0.5488372093023256	0.01	0.2
657	19920816-M-Cincinnati_Masters-F-Pete_Sampras-Ivan_Lendl.html	0.5363636363636364	0.43	0.1	0.18	0.4636363636363636	0.03	0.25	0.5377358490566038	0.51	0.16	0.13	0.46226415094339623	0.03	0.17
658	20040807-M-Cincinnati_Masters-SF-Lleyton_Hewitt-Tommy_Robredo.html	0.36065573770491804	0.58	0.13	0.11	0.639344262295082	0.03	0.13	0.3389830508474576	0.3	0.15	0.29	0.6610169491525424	0.03	0.23
659	20171008-M-Tokyo-F-David_Goffin-Adrian_Mannarino.html	0.5095785440613027	0.48	0.19	0.21	0.4904214559386973	0.02	0.11	0.5461847389558233	0.6	0.07	0.27	0.4538152610441767	0.01	0.06
660	20090321-M-Indian_Wells_Masters-SF-Roger_Federer-Andy_Murray.html	0.5667752442996743	0.46	0.14	0.21	0.43322475570032576	0.04	0.14	0.5275862068965518	0.51	0.08	0.22	0.4724137931034483	0.02	0.16
661	20170303-M-Sao_Paulo-QF-Diego_Sebastian_Schwartzman-Pablo_Cuevas.html	0.3644067796610169	0.42	0.11	0.28	0.635593220338983	0.01	0.18	0.48753462603878117	0.49	0.07	0.29	0.5124653739612188	0.05	0.1
662	19980209-M-San_Jose-F-Pete_Sampras-Andre_Agassi.html	0.6209677419354839	0.54	0.1	0.24	0.3790322580645161	0.0	0.12	0.6015625	0.48	0.18	0.22	0.3984375	0.0	0.12
663	19851208-M-Australian_Open-F-Stefan_Edberg-Mats_Wilander.html	0.583756345177665	0.44	0.15	0.32	0.41624365482233505	0.02	0.07	0.5402298850574713	0.37	0.2	0.31	0.45977011494252873	0.01	0.11
664	20090816-M-Cincinnati_Masters-F-Roger_Federer-Novak_Djokovic.html	0.4448669201520912	0.45	0.04	0.36	0.5551330798479087	0.03	0.12	0.5450819672131147	0.44	0.09	0.35	0.45491803278688525	0.03	0.09
665	20150228-M-Dubai-F-Roger_Federer-Novak_Djokovic.html	0.43119266055045874	0.32	0.09	0.37	0.5688073394495413	0.03	0.19	0.5142857142857142	0.45	0.07	0.29	0.4857142857142857	0.02	0.18
666	20140928-M-Shenzhen-F-Andy_Murray-Tommy_Robredo.html	0.4473684210526316	0.41	0.16	0.19	0.5526315789473685	0.01	0.22	0.4746268656716418	0.39	0.13	0.26	0.5253731343283582	0.06	0.17
667	20150426-M-Bucharest-F-Guillermo_Garcia_Lopez-Jiri_Vesely.html	0.43532338308457713	0.48	0.2	0.18	0.5646766169154229	0.03	0.11	0.5218446601941747	0.48	0.25	0.15	0.47572815533980584	0.01	0.11
668	20151129-M-Challenger_Tour_Finals-F-Daniel_Munoz_De_La_Nava-Inigo_Cervantes_Huegun.html	0.32294617563739375	0.54	0.09	0.24	0.6770538243626062	0.01	0.12	0.5603448275862069	0.49	0.11	0.3	0.4396551724137931	0.02	0.08
669	20150106-M-Doha-R32-Novak_Djokovic-Dusan_Lajovic.html	0.3526315789473684	0.3	0.08	0.35	0.6473684210526316	0.02	0.26	0.4861878453038674	0.34	0.02	0.53	0.5138121546961326	0.01	0.09
670	20160725-M-Canada_Masters-R64-Denis_Shapovalov-Nick_Kyrgios.html	0.45549738219895286	0.45	0.09	0.34	0.5445026178010471	0.0	0.12	0.4486486486486487	0.47	0.07	0.29	0.5513513513513514	0.0	0.17
671	20130105-M-Brisbane-SF-Kei_Nishikori-Andy_Murray.html	0.5446428571428571	0.44	0.09	0.33	0.45535714285714285	0.01	0.13	0.5798319327731093	0.39	0.05	0.45	0.42016806722689076	0.01	0.1
672	20150316-M-Indian_Wells_Masters-R32-Ernests_Gulbis-Adrian_Mannarino.html	0.4697674418604651	0.38	0.12	0.33	0.5302325581395348	0.0	0.17	0.47474747474747475	0.38	0.03	0.49	0.5252525252525253	0.01	0.09
673	20151106-M-Paris-QF-Tomas_Berdych-Novak_Djokovic.html	0.5	0.45	0.16	0.18	0.5	0.03	0.19	0.5147540983606558	0.51	0.14	0.22	0.4852459016393443	0.01	0.13
674	20180621-M-Halle-R16-Roger_Federer-Benoit_Paire.html	0.5849802371541502	0.25	0.13	0.42	0.4150197628458498	0.04	0.15	0.5378486055776892	0.42	0.08	0.32	0.46215139442231074	0.0	0.19
675	20171026-M-Vienna-R16-Pablo_Carreno_Busta-Diego_Sebastian_Schwartzman.html	0.48878923766816146	0.47	0.08	0.29	0.5112107623318386	0.02	0.14	0.5294117647058824	0.5	0.08	0.28	0.47058823529411764	0.02	0.12
676	20000319-M-Indian_Wells_Masters-F-Thomas_Enqvist-Alex_Corretja.html	0.5234657039711191	0.57	0.1	0.2	0.47653429602888087	0.0	0.13	0.5243445692883895	0.3	0.16	0.35	0.4756554307116105	0.02	0.16
677	20170215-M-Rotterdam-R32-Alexander_Zverev-Dominic_Thiem.html	0.40129449838187703	0.42	0.12	0.29	0.598705501618123	0.0	0.17	0.4630225080385852	0.41	0.08	0.35	0.5369774919614148	0.02	0.15
678	20150212-M-Rotterdam-R16-Jeremy_Chardy-Gilles_Simon.html	0.3254437869822485	0.44	0.11	0.19	0.6745562130177515	0.02	0.24	0.4968152866242038	0.48	0.13	0.26	0.5031847133757962	0.01	0.12
679	20170730-M-Atlanta-F-John_Isner-Ryan_Harrison.html	0.38461538461538464	0.32	0.1	0.3	0.6153846153846154	0.01	0.27	0.47058823529411764	0.32	0.11	0.34	0.5294117647058824	0.0	0.24
680	20140730-M-Kitzbuhel-R16-Dominic_Thiem-Jiri_Vesely.html	0.45539906103286387	0.48	0.07	0.29	0.5446009389671361	0.02	0.14	0.4533333333333333	0.55	0.11	0.18	0.5466666666666666	0.01	0.15
681	20000128-M-Australian_Open-SF-Pete_Sampras-Andre_Agassi.html	0.6753731343283582	0.46	0.14	0.28	0.3246268656716418	0.02	0.1	0.4591439688715953	0.44	0.18	0.17	0.5408560311284046	0.0	0.21
682	20131104-M-Tour_Finals-RR-Richard_Gasquet-Novak_Djokovic.html	0.5236907730673317	0.58	0.11	0.21	0.4763092269326683	0.0	0.09	0.5623471882640587	0.4	0.21	0.23	0.43765281173594134	0.01	0.15
683	20180107-M-Brisbane-F-Ryan_Harrison-Nick_Kyrgios.html	0.5073529411764706	0.29	0.17	0.34	0.49264705882352944	0.04	0.16	0.3986013986013986	0.49	0.15	0.15	0.6013986013986014	0.04	0.16
