	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
131	20140413-M-Monte_Carlo_Masters-SF-Novak_Djokovic-Roger_Federer.html	14	1	11	11	25.0	12.0	5	6	15	8	20.0	14.0
132	20140606-M-Roland_Garros-SF-Ernests_Gulbis-Novak_Djokovic.html	20	17	21	10	41.0	27.0	15	6	12	12	27.0	18.0
133	20140608-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal.html	24	11	16	21	40.0	32.0	14	9	19	30	33.0	39.0
134	20140704-M-Wimbledon-SF-Grigor_Dimitrov-Novak_Djokovic.html	16	6	16	27	32.0	33.0	20	8	14	18	34.0	26.0
135	20140706-M-Wimbledon-F-Novak_Djokovic-Roger_Federer.html	18	20	20	28	38.0	48.0	17	11	17	31	34.0	42.0
136	20140807-M-Canada_Masters-R16-Novak_Djokovic-Jo_Wilfried_Tsonga.html	9	1	9	6	18.0	7.0	9	4	6	8	15.0	12.0
137	20140903-M-US_Open-QF-Novak_Djokovic-Andy_Murray.html	24	8	23	20	47.0	28.0	29	12	29	21	58.0	33.0
138	20140906-M-US_Open-SF-Novak_Djokovic-Kei_Nishikori.html	19	5	12	15	31.0	20.0	13	13	15	17	28.0	30.0
139	20141004-M-Beijing-SF-Novak_Djokovic-Andy_Murray.html	12	5	11	10	23.0	15.0	16	2	10	1	26.0	3.0
140	20141005-M-Beijing-F-Tomas_Berdych-Novak_Djokovic.html	8	1	9	6	17.0	7.0	4	7	8	4	12.0	11.0
141	20141010-M-Shanghai_Masters-SF-Novak_Djokovic-Roger_Federer.html	10	9	15	15	25.0	24.0	6	6	11	19	17.0	25.0
142	20141030-M-Paris_Masters-QF-Novak_Djokovic-Andy_Murray.html	13	4	9	7	22.0	11.0	15	5	15	9	30.0	14.0
143	20141030-M-Paris_Masters-R16-Novak_Djokovic-Gael_Monfils.html	9	2	2	13	11.0	15.0	18	4	10	11	28.0	15.0
144	20141101-M-Paris_Masters-F-Novak_Djokovic-Milos_Raonic.html	8	4	2	7	10.0	11.0	6	4	20	10	26.0	14.0
145	20141110-M-London-RR-Marin_Cilic-Novak_Djokovic.html	10	3	13	2	23.0	5.0	6	3	6	6	12.0	9.0
146	20141114-M-Tour_Finals-RR-Tomas_Berdych-Novak_Djokovic.html	6	2	9	4	15.0	6.0	6	4	2	10	8.0	14.0
147	20150106-M-Doha-R32-Novak_Djokovic-Dusan_Lajovic.html	8	4	10	18	18.0	22.0	6	1	10	7	16.0	8.0
148	20150123-M-Australian_Open-R32-Fernando_Verdasco-Novak_Djokovic.html	9	3	20	16	29.0	19.0	8	6	7	21	15.0	27.0
149	20150130-M-Australian_Open-SF-Novak_Djokovic-Stanislas_Wawrinka.html	17	5	22	15	39.0	20.0	28	9	32	19	60.0	28.0
150	20150201-M-Australian_Open-F-Novak_Djokovic-Andy_Murray.html	16	14	24	28	40.0	42.0	20	13	32	18	52.0	31.0
151	20150226-M-Dubai-QF-Novak_Djokovic-Marsel_Ilhan.html	4	0	6	6	10.0	6.0	6	1	19	0	25.0	1.0
152	20150228-M-Dubai-F-Roger_Federer-Novak_Djokovic.html	12	6	15	16	27.0	22.0	5	5	9	11	14.0	16.0
153	20150316-M-Indian_Wells_Masters-R32-Novak_Djokovic-Albert_Ramos.html	9	3	17	13	26.0	16.0	6	0	16	4	22.0	4.0
154	20150321-M-Indian_Wells_Masters-SF-Novak_Djokovic-Andy_Murray.html	10	4	9	9	19.0	13.0	12	2	13	3	25.0	5.0
155	20150322-M-Indian_Wells_Masters-F-Novak_Djokovic-Roger_Federer.html	18	5	9	13	27.0	18.0	15	6	26	16	41.0	22.0
156	20150405-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray.html	17	7	16	17	33.0	24.0	23	9	19	11	42.0	20.0
157	20150418-M-Monte_Carlo_Masters-SF-Novak_Djokovic-Rafael_Nadal.html	12	7	8	15	20.0	22.0	8	5	14	13	22.0	18.0
158	20150419-M-Monte_Carlo_Masters-F-Novak_Djokovic-Tomas_Berdych.html	23	8	17	12	40.0	20.0	25	9	29	19	54.0	28.0
159	20150515-M-Rome_Masters-QF-Novak_Djokovic-Kei_Nishikori.html	9	3	14	10	23.0	13.0	11	3	20	9	31.0	12.0
160	20150517-M-Rome_Masters-F-Novak_Djokovic-Roger_Federer.html	3	4	5	9	8.0	13.0	14	5	13	12	27.0	17.0
161	20150603-M-Roland_Garros-QF-Novak_Djokovic-Rafael_Nadal.html	20	17	13	25	33.0	42.0	10	5	17	6	27.0	11.0
162	20150605-M-Roland_Garros-SF-Novak_Djokovic-Andy_Murray.html	33	15	24	30	57.0	45.0	27	9	22	14	49.0	23.0
163	20150607-M-Roland_Garros-F-Stanislas_Wawrinka-Novak_Djokovic.html	24	12	29	36	53.0	48.0	23	14	24	8	47.0	22.0
164	20150709-M-Wimbledon-QF-Marin_Cilic-Novak_Djokovic.html	19	9	16	13	35.0	22.0	11	8	7	13	18.0	21.0
165	20150710-M-Wimbledon-SF-Novak_Djokovic-Richard_Gasquet.html	17	17	18	17	35.0	34.0	10	17	15	13	25.0	30.0
166	20150712-M-Wimbledon-F-Roger_Federer-Novak_Djokovic.html	28	14	29	27	57.0	41.0	16	8	19	20	35.0	28.0
167	20150811-M-Canada_Masters-R32-Novak_Djokovic-Thomaz_Bellucci.html	17	5	14	15	31.0	20.0	12	2	14	7	26.0	9.0
168	20150813-M-Canada_Masters-R16-Novak_Djokovic-Jack_Sock.html	7	6	3	9	10.0	15.0	7	0	13	5	20.0	5.0
169	20150814-M-Canada_Masters-QF-Novak_Djokovic-Ernests_Gulbis.html	15	4	15	9	30.0	13.0	25	5	19	10	44.0	15.0
170	20150816-M-Canada_Masters-F-Andy_Murray-Novak_Djokovic.html	20	16	21	13	41.0	29.0	22	8	16	21	38.0	29.0
171	20150822-M-Cincinnati-SF-Novak_Djokovic-Alexandr_Dolgopolov.html	19	2	13	4	32.0	6.0	19	7	36	23	55.0	30.0
172	20150823-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer.html	11	4	8	8	19.0	12.0	8	7	9	17	17.0	24.0
173	20150906-M-US_Open-R16-Novak_Djokovic-Roberto_Bautista_Agut.html	26	8	15	23	41.0	31.0	14	6	29	24	43.0	30.0
174	20150909-M-US_Open-QF-Novak_Djokovic-Feliciano_Lopez.html	23	12	16	15	39.0	27.0	26	9	26	12	52.0	21.0
175	20150911-M-US_Open-SF-Novak_Djokovic-Marin_Cilic.html	9	5	8	6	17.0	11.0	15	1	22	5	37.0	6.0
176	20150913-M-US_Open-F-Roger_Federer-Novak_Djokovic.html	26	17	36	25	62.0	42.0	27	10	13	17	40.0	27.0
177	20151006-M-Beijing-R32-Novak_Djokovic-Simone_Bolelli.html	9	6	6	6	15.0	12.0	8	1	15	6	23.0	7.0
178	20151008-M-Beijing-R16-Novak_Djokovic-Ze_Zhang.html	4	6	11	11	15.0	17.0	10	0	3	3	13.0	3.0
179	20151009-M-Beijing-QF-John_Isner-Novak_Djokovic.html	7	3	11	4	18.0	7.0	3	4	6	5	9.0	9.0
180	20151010-M-Beijing-SF-David_Ferrer-Novak_Djokovic.html	13	2	15	3	28.0	5.0	14	4	8	8	22.0	12.0
181	20151011-M-Beijing-F-Rafael_Nadal-Novak_Djokovic.html	5	3	15	4	20.0	7.0	5	7	12	9	17.0	16.0
182	20151014-M-Shanghai_Masters-R32-Novak_Djokovic-Martin_Klizan.html	4	1	13	4	17.0	5.0	10	3	15	2	25.0	5.0
183	20151015-M-Shanghai_Masters-R16-Novak_Djokovic-Feliciano_Lopez.html	8	10	5	6	13.0	16.0	13	1	7	6	20.0	7.0
184	20151016-M-Shanghai_Masters-QF-Novak_Djokovic-Bernard_Tomic.html	9	5	9	12	18.0	17.0	17	4	13	13	30.0	17.0
185	20151017-M-Shanghai_Masters-SF-Andy_Murray-Novak_Djokovic.html	10	3	8	3	18.0	6.0	2	8	3	4	5.0	12.0
186	20151018-M-Shanghai_Masters-F-Jo_Wilfried_Tsonga-Novak_Djokovic.html	7	1	18	9	25.0	10.0	4	4	5	11	9.0	15.0
187	20151105-M-Paris-R16-Novak_Djokovic-Gilles_Simon.html	8	2	16	14	24.0	16.0	14	3	10	7	24.0	10.0
